Project,Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN,PRICE,subtotal
uM,Q1,20 MHz,raffilibkicad:ABM7,1,Abracon,ABM7-20.000MHZ-D2Y-T,Mouser,815-ABM7-20-D2Y-T,0,0
uM,C1;C5,100n,raffilibkicad:C_0603,2,Kemet,C0603C104Z3VACTU,Mouser,80-C0603C104Z3V,1,2
uM,C2;C3,18p,raffilibkicad:C_0603,2,Vishay,VJ0603A180JXACW1BC,Mouser,77-VJ0603A180JXACBC,2,4
uM,C4,100u,raffilibkicad:C_Radial_D4_L7,1,Panasonic,ECE-A0JKA101,Mouser,667-ECE-A0JKA101,3,3
uM,L1,22u,raffilibkicad:Inductor_SRN4018TA_bourns,1,Bourns,SRN4018TA-220M,Mouser,652-SRN4018TA-220M,4,4
uM,D3,LED,raffilibkicad:LED_D3.0mm,1,Lite-On,LTL-4231N,Mouser,859-LTL-4231N,5,5
uM,J2;J3;J4,CONN_01X02_MALE,raffilibkicad:Pin_Header_Angled_2x01_Pitch2.54mm,3,,,,,6,18
uM,JP5,AVR_SPI_PRG_6PTH,raffilibkicad:Pin_Header_Straight_2x03_Pitch2.54mm,1,TE,103777-3,Mouser,571-103777-3,7,7
uM,R9,10k,raffilibkicad:R_0603,1,Yageo,RC0603FR-0710KL,Mouser,603-RC0603FR-0710KL,8,8
uM,R1;R2;R3;R4;R5,220,raffilibkicad:R_0603,5,Visha,CRCW0603220RFKEB,Mouser,71-CRCW0603220RFKEB,9,45
uM,R8,2k2,raffilibkicad:R_0603,1,Yageo,RC0603FR-072K2L,Mouser,603-RC0603FR-072K2L,10,10
uM,R6;R7,68,raffilibkicad:R_0603,2,ERJ-3EKF68R0V,Panasonic,Mouser,667-ERJ-3EKF68R0V,11,22
uM,IC2,MCP4822,raffilibkicad:SO-8,1,Microchip,MCP4822-E/SN,Mouser,579-MCP4822-E/SN,12,12
uM,D2;D1,3.6V,raffilibkicad:SOD-323,2,Vishay,BZX384B3V6-E3-18,Mouser,78-BZX384B3V6-E3-18,13,26
uM,IC1,ATTINY84,raffilibkicad:SOIC-14_N,1,Atmel,ATTINY84A-SSU,Mouser,556-ATTINY84A-SSU,14,14
uM,T8;T7;T3;T4;T6;T5;T1;T2,TESTPIN,raffilibkicad:TESTPAD_SMD_SQR,8,,,,,15,120
uM,J1,USB,raffilibkicad:ZX62D-B-MICRO_USB_RECEIPTABLE,1,Hirose,ZX62D-B-5PA8(30),Mouser,798-ZX62D-B-5PA830,16,16
uM,CV1;CV2;GATE2;GATE1,JACK_QINGPU,raffilibkicad:jack_qingpu,4,,,,,,
